vid_title,vid_id,category,duration,views,likes,url
5 MINUTE SLIM THIGHS and SIDE BOOTY  💕 No Equipment Pilates workout,xr3TEHdV2Wo,Workout,7.42,1376496,19291,https://www.youtube.com/watch?v=xr3TEHdV2Wo
5 MINUTE CHEST WORKOUT(NO EQUIPMENT),_q_-adYzkh0,Workout,6.15,6249095,131659,https://www.youtube.com/watch?v=_q_-adYzkh0
5 min &quot;Wake up Happy&quot; Morning Workout Routine,iLV4swo-uhE,Workout,7.93,511444,8762,https://www.youtube.com/watch?v=iLV4swo-uhE
How to Lose Belly Fat: 5 Minute Abs,bqxxtxXWMsM,Workout,6.35,21231475,215203,https://www.youtube.com/watch?v=bqxxtxXWMsM
"5 Min Slow Workout Full Body for Beginners// NO BREAKS, NO TALKING, NO TIMER NEEDED: ONLY MUSIC!",6MxhIVg96Is,Workout,5.08,15869,265,https://www.youtube.com/watch?v=6MxhIVg96Is
Bowflex® Stretch | Five-Minute Full Body Stretch,2L2lnxIcNmo,Workout,5.55,11991447,116231,https://www.youtube.com/watch?v=2L2lnxIcNmo
"5 minute arm workout- get long, lean, toned arms",4lvwAEKGsMQ,Workout,7.3,5123611,72410,https://www.youtube.com/watch?v=4lvwAEKGsMQ
BODYWEIGHT 5 MIN MEDIUM INTENSITY WORKOUT| MEN &amp; WOMEN WORKOUT| HOME QUARANTINED WORKOUT,idl3_wvbKrg,Workout,6.53,1900885,48520,https://www.youtube.com/watch?v=idl3_wvbKrg
Fast 5 Minute Cool Down and Stretching Workout for Busy People,u5Hr3rNUZ24,Workout,4.88,6054400,33643,https://www.youtube.com/watch?v=u5Hr3rNUZ24
5-Minute PLANK Challenge | Strong Abs &amp; Core | Joanna Soh,6X1c79oyYV4,Workout,7.08,2742676,46541,https://www.youtube.com/watch?v=6X1c79oyYV4
INTENSE CARDIO WORKOUT (Burn 100 calories in 5 min!!!),pTe_t20vYHM,Workout,5.68,5276604,165060,https://www.youtube.com/watch?v=pTe_t20vYHM
5 MIN FAT BURNING MORNING ROUTINE (FOLLOW ALONG),cARRXEa-HvU,Workout,6.92,2251929,46736,https://www.youtube.com/watch?v=cARRXEa-HvU
NO GYM - FULL BODY WORKOUT (घर पर 5 Min का Best Workout) | Fit Tuber Hindi,ELUngT_-YvE,Workout,7.1,919388,50405,https://www.youtube.com/watch?v=ELUngT_-YvE
5 MIN LOWER BODY WORKOUT (NO REST TABATA) // No Equipment &amp; Fat Burning | 5분 하체지방 폭파 타바타 운동,JIQUbPqfVV4,Workout,5.37,798820,16156,https://www.youtube.com/watch?v=JIQUbPqfVV4
Intense 5 Minute Dumbbell Bicep Workout,1FN6ovYpkoM,Workout,6.32,4963548,74673,https://www.youtube.com/watch?v=1FN6ovYpkoM
Quick Workout: The 5-Minute One-Dumbbell Workout For Total-Body Toning from Women&#39;s Health,Euqli_uhd2E,Workout,6.2,344918,3394,https://www.youtube.com/watch?v=Euqli_uhd2E
5- minute easy zumba  Dance workout,Vkwy1LaxtTE,Workout,4.7,2022065,16991,https://www.youtube.com/watch?v=Vkwy1LaxtTE
5 Minute Move | Kids Workout 2 | The Body Coach TV,SbFqQarDM50,Workout,5.67,534906,2431,https://www.youtube.com/watch?v=SbFqQarDM50
5 Minute Move | Kids Workout 5 | The Body Coach TV,rN0h6EZd6TM,Workout,5.27,196737,848,https://www.youtube.com/watch?v=rN0h6EZd6TM
Intense 5 Minute At Home Bicep Workout #2,u7MVeTlDX9A,Workout,8.17,1663800,39598,https://www.youtube.com/watch?v=u7MVeTlDX9A
4-Minute Workout That Replaces 1 Hour in the Gym,FRDGlIJTVt8,Workout,8.73,19845567,431325,https://www.youtube.com/watch?v=FRDGlIJTVt8
5 Minute Flat Abs!,SHRHCJcYtvs,Workout,6.68,7546329,74345,https://www.youtube.com/watch?v=SHRHCJcYtvs
10 MIN FULL BODY WORKOUT // No Equipment | Pamela Reif,6VFLKdfxA24,Workout,10.53,4947497,65860,https://www.youtube.com/watch?v=6VFLKdfxA24
10 MINUTE FAT BURNING MORNING ROUTINE | Do this every day | Rowan Row,7KSNmziMqog,Workout,10.92,12874219,397182,https://www.youtube.com/watch?v=7KSNmziMqog
10 MINUTE MORNING WORKOUT (NO EQUIPMENT),3sEeVJEXTfY,Workout,10.52,4425897,86015,https://www.youtube.com/watch?v=3sEeVJEXTfY
10 Minute FULL BODY Workout | The Body Coach TV,KrmYjcQzSsQ,Workout,11.7,472545,5533,https://www.youtube.com/watch?v=KrmYjcQzSsQ
