vid_title,vid_id,category,views,duration,url
Shaun T&#39;s 5-Minute Fat-Blasting Workout - Best of Oz Collection,t1rhghuWIg4,Workout,17461,5.83,https://www.youtube.com/watch?v=t1rhghuWIg4
6 PACK ABS WORKOUT (Lose Belly Fat)  |  5분 식스팩 복근 운동 (복부지방 태우기),tjZm34Kfpmg,Workout,3283518,5.4,https://www.youtube.com/watch?v=tjZm34Kfpmg
[Level 3] 5 minute Abs &amp; Core workout,c6DorYn0uGQ,Workout,9900163,5.35,https://www.youtube.com/watch?v=c6DorYn0uGQ
5-Minute Squat Workout for a Tight Booty,6XpGQ2EhfUQ,Workout,1328763,5.75,https://www.youtube.com/watch?v=6XpGQ2EhfUQ
5 MINUTE SLIM THIGHS and SIDE BOOTY  💕 No Equipment Pilates workout,xr3TEHdV2Wo,Workout,1372984,7.42,https://www.youtube.com/watch?v=xr3TEHdV2Wo
5 MIN BED TIME WORKOUT (NO EQUIPMENT BODYWEIGHT  WORKOUT!),A4Ki2SIX3b4,Workout,446659,5.42,https://www.youtube.com/watch?v=A4Ki2SIX3b4
5-Minute Workout to Get a Flat Stomach In a Week,kXFSy-DZasQ,Workout,2824907,10.83,https://www.youtube.com/watch?v=kXFSy-DZasQ
Bowflex® Bodyweight Workout | Five-Minute Holiday Season HIIT,AzxS7QJ5vjY,Workout,532700,5.85,https://www.youtube.com/watch?v=AzxS7QJ5vjY
"5 Min Slow Workout Full Body for Beginners// NO BREAKS, NO TALKING, NO TIMER NEEDED: ONLY MUSIC!",6MxhIVg96Is,Workout,15686,5.08,https://www.youtube.com/watch?v=6MxhIVg96Is
5 MINUTE CHEST WORKOUT(NO EQUIPMENT),_q_-adYzkh0,Workout,6241218,6.15,https://www.youtube.com/watch?v=_q_-adYzkh0
5 min &quot;Wake up Happy&quot; Morning Workout Routine,iLV4swo-uhE,Workout,510776,7.93,https://www.youtube.com/watch?v=iLV4swo-uhE
Bowflex® Stretch | Five-Minute Full Body Stretch,2L2lnxIcNmo,Workout,11979561,5.55,https://www.youtube.com/watch?v=2L2lnxIcNmo
How to Lose Belly Fat: 5 Minute Abs,bqxxtxXWMsM,Workout,21230297,6.35,https://www.youtube.com/watch?v=bqxxtxXWMsM
Fast 5 Minute Cool Down and Stretching Workout for Busy People,u5Hr3rNUZ24,Workout,6048074,4.88,https://www.youtube.com/watch?v=u5Hr3rNUZ24
5 MIN LOWER BODY WORKOUT (NO REST TABATA) // No Equipment &amp; Fat Burning | 5분 하체지방 폭파 타바타 운동,JIQUbPqfVV4,Workout,797743,5.37,https://www.youtube.com/watch?v=JIQUbPqfVV4
INTENSE CARDIO WORKOUT (Burn 100 calories in 5 min!!!),pTe_t20vYHM,Workout,5274522,5.68,https://www.youtube.com/watch?v=pTe_t20vYHM
"5 minute arm workout- get long, lean, toned arms",4lvwAEKGsMQ,Workout,5119771,7.3,https://www.youtube.com/watch?v=4lvwAEKGsMQ
5 Minute Move | Kids Workout 2 | The Body Coach TV,SbFqQarDM50,Workout,534377,5.67,https://www.youtube.com/watch?v=SbFqQarDM50
BODYWEIGHT 5 MIN MEDIUM INTENSITY WORKOUT| MEN &amp; WOMEN WORKOUT| HOME QUARANTINED WORKOUT,idl3_wvbKrg,Workout,1898924,6.53,https://www.youtube.com/watch?v=idl3_wvbKrg
5-Minute PLANK Challenge | Strong Abs &amp; Core | Joanna Soh,6X1c79oyYV4,Workout,2739986,7.08,https://www.youtube.com/watch?v=6X1c79oyYV4
5 MIN FAT BURNING MORNING ROUTINE (FOLLOW ALONG),cARRXEa-HvU,Workout,2250707,6.92,https://www.youtube.com/watch?v=cARRXEa-HvU
5- minute easy zumba  Dance workout,Vkwy1LaxtTE,Workout,2015271,4.7,https://www.youtube.com/watch?v=Vkwy1LaxtTE
5 Minute Intense Sixpack Workout (AT HOME),Z0U8LuVCwWQ,Workout,1097218,6.0,https://www.youtube.com/watch?v=Z0U8LuVCwWQ
Intense 5 Minute Dumbbell Bicep Workout,1FN6ovYpkoM,Workout,4958775,6.32,https://www.youtube.com/watch?v=1FN6ovYpkoM
SMALLER WAIST and LOSE BELLY FAT 💕💕5 MINUTE FLAT ABS WORKOUT,CBhjgLuYJOw,Workout,252174,5.87,https://www.youtube.com/watch?v=CBhjgLuYJOw
5 Minute Move | Kids Workout 5 | The Body Coach TV,rN0h6EZd6TM,Workout,196476,5.27,https://www.youtube.com/watch?v=rN0h6EZd6TM
5 Minute Mini WALK from Miracle Miles 3 Mile!,vAXKIcC-zC0,Workout,851106,5.77,https://www.youtube.com/watch?v=vAXKIcC-zC0
Intense 5 Minute At Home Bicep Workout #2,u7MVeTlDX9A,Workout,1662793,8.17,https://www.youtube.com/watch?v=u7MVeTlDX9A
NO GYM - FULL BODY WORKOUT (घर पर 5 Min का Best Workout) | Fit Tuber Hindi,ELUngT_-YvE,Workout,916006,7.1,https://www.youtube.com/watch?v=ELUngT_-YvE
5 MIN Express Ab Workout - No Equipment //  Model Fitness Routine @Sami Clarke // Sanne Vloet,i2UeDLOWP_Y,Workout,102775,5.95,https://www.youtube.com/watch?v=i2UeDLOWP_Y
10 MINUTE FAT BURNING MORNING ROUTINE | Do this every day | Rowan Row,7KSNmziMqog,Workout,12829620,10.92,https://www.youtube.com/watch?v=7KSNmziMqog
10 MIN FULL BODY WORKOUT // No Equipment | Pamela Reif,6VFLKdfxA24,Workout,4940756,10.53,https://www.youtube.com/watch?v=6VFLKdfxA24
10 MIN MORNING WORKOUT (NO EQUIPMENT BODYWEIGHT WORKOUT!),bQKIczEj8m4,Workout,18152382,10.38,https://www.youtube.com/watch?v=bQKIczEj8m4
10 Minute FULL BODY Workout | The Body Coach TV,KrmYjcQzSsQ,Workout,470855,11.7,https://www.youtube.com/watch?v=KrmYjcQzSsQ
10 MINUTE MORNING WORKOUT (NO EQUIPMENT),3sEeVJEXTfY,Workout,4418758,10.52,https://www.youtube.com/watch?v=3sEeVJEXTfY
10 MIN CARDIO / No Jumping - silent &amp; neighbor friendly / No Equipment I Pamela Reif,gFeEUq2624Q,Workout,5748182,10.57,https://www.youtube.com/watch?v=gFeEUq2624Q
Victoria&#39;s Secret Model Workout: 10-Minute Fat-Blasting Circuit,PWEdJRRndkQ,Workout,14491131,10.52,https://www.youtube.com/watch?v=PWEdJRRndkQ
"10-Minute No-Equipment, At-Home Cardio Workout",gUWFmn8f3H4,Workout,1245447,11.18,https://www.youtube.com/watch?v=gUWFmn8f3H4
10 MIN HIGH INTENSITY WORKOUT - burn lots of calories / No Equipment I Pamela Reif,zr08J6wB53Y,Workout,2696945,10.77,https://www.youtube.com/watch?v=zr08J6wB53Y
10 MIN BODYWEIGHT WORKOUT (NO EQUIPMENT HOME WORKOUT!),UoC_O3HzsH0,Workout,11870644,10.93,https://www.youtube.com/watch?v=UoC_O3HzsH0
10 MIN GOOD MORNING WORKOUT - Stretch &amp; Train // No Equipment | Pamela Reif,diPRDW6CxWM,Workout,8735757,10.28,https://www.youtube.com/watch?v=diPRDW6CxWM
10 MIN AB WORKOUT // No Equipment | Pamela Reif,AnYl6Nk9GOA,Workout,28622540,10.43,https://www.youtube.com/watch?v=AnYl6Nk9GOA
10 Minute Cardio Dance Abs Workout: Burn to the Beat- Keaira LaShae,XTH5saFBDqA,Workout,28166441,11.3,https://www.youtube.com/watch?v=XTH5saFBDqA
Killer 10 Minute Fat Burning Bodyweight Workout,_knIf9vF4k4,Workout,5739570,10.65,https://www.youtube.com/watch?v=_knIf9vF4k4
10-Minute Standing Barre Core Workout,KcY7ITTDecs,Workout,1215525,12.97,https://www.youtube.com/watch?v=KcY7ITTDecs
10 Minute CARDIO BLAST | At Home Workouts,ZllXIKITzfg,Workout,2548758,10.97,https://www.youtube.com/watch?v=ZllXIKITzfg
10 MINUTE MORNING WORKOUT 2.0 (NO EQUIPMENT),Tj2EqWRPIl8,Workout,186396,10.57,https://www.youtube.com/watch?v=Tj2EqWRPIl8
10 MIN BEGINNER AB WORKOUT // No Equipment | Pamela Reif,1f8yoFFdkcY,Workout,23671409,10.5,https://www.youtube.com/watch?v=1f8yoFFdkcY
10 MIN FULL BODY TABATA (BURNING FAT AT HOME) l 10분 전신 타바타 (지방 태우기 홈트),L1kS5I99dlM,Workout,762778,10.4,https://www.youtube.com/watch?v=L1kS5I99dlM
Do This Workout Every Evening - 10 Minute Full Body To Get In Shape,agvdkRc_img,Workout,1152766,10.88,https://www.youtube.com/watch?v=agvdkRc_img
